lambda	EP	loggf	El	EW
4523.40	 3.65	-1.871	FeI 	 44.2
4537.67	 3.27	-2.870	FeI 	 17.4
4551.65	 3.94	-1.928	FeI 	 29.1
4556.93	 3.25	-2.644	FeI 	 26.3
4566.52	 3.30	-2.156	FeI 	 46.2
4574.22	 3.21	-2.353	FeI 	 41.0
4593.53	 3.94	-1.921	FeI 	 29.5
4596.41	 3.65	-2.090	FeI 	 34.1
4602.00	 1.61	-3.163	FeI 	 72.2
4630.12	 2.28	-2.488	FeI 	 74.3
4631.49	 4.55	-1.890	FeI 	 11.6
4661.54	 4.56	-1.186	FeI 	 38.5
4690.14	 3.69	-1.550	FeI 	 58.8
4802.88	 3.69	-1.527	FeI 	 60.4
4808.15	 3.25	-2.630	FeI 	 27.7
4809.94	 3.57	-2.542	FeI 	 19.4
4811.05	 3.07	-3.182	FeI 	 14.5
4885.43	 3.88	-1.136	FeI 	 72.5
4961.92	 3.63	-2.301	FeI 	 26.7
5127.36	 0.92	-3.317	FeI 	 99.4
5141.74	 2.42	-2.125	FeI 	 89.3
5223.19	 3.63	-2.252	FeI 	 29.4
5228.38	 4.22	-1.095	FeI 	 60.0
5242.50	 3.63	-1.124	FeI 	 86.7
5243.78	 4.26	-1.022	FeI 	 62.2
5247.06	 0.09	-4.941	FeI 	 66.4
5294.55	 3.64	-2.627	FeI 	 15.5
5295.32	 4.42	-1.518	FeI 	 29.3
5376.83	 4.29	-2.040	FeI 	 14.7
5379.58	 3.69	-1.552	FeI 	 61.2
5386.34	 4.15	-1.709	FeI 	 32.1
5389.48	 4.42	-0.534	FeI 	 84.6
5398.28	 4.45	-0.684	FeI 	 73.3
5409.14	 4.37	-1.051	FeI 	 55.7
5432.95	 4.45	-0.729	FeI 	 70.6
5436.30	 4.39	-1.319	FeI 	 40.5
5464.28	 4.14	-1.595	FeI 	 38.2
5466.99	 3.65	-2.141	FeI 	 34.2
5473.17	 4.19	-1.986	FeI 	 19.5
5522.45	 4.21	-1.419	FeI 	 44.0
5543.94	 4.22	-1.070	FeI 	 62.2
5546.51	 4.37	-1.124	FeI 	 52.0
5560.22	 4.43	-1.064	FeI 	 52.4
5584.77	 3.57	-2.189	FeI 	 35.8
5618.64	 4.21	-1.298	FeI 	 50.5
5619.60	 4.39	-1.435	FeI 	 35.0
5633.95	 4.99	-0.385	FeI 	 66.5
5636.70	 3.64	-2.511	FeI 	 19.8
5638.27	 4.22	-0.809	FeI 	 77.6
5649.99	 5.10	-0.785	FeI 	 36.2
5651.47	 4.47	-1.763	FeI 	 18.4
5653.87	 4.39	-1.402	FeI 	 36.7
5679.03	 4.65	-0.756	FeI 	 59.5
5680.24	 4.19	-2.330	FeI 	 10.3
5715.09	 4.28	-0.847	FeI 	 72.5
5720.90	 4.55	-1.805	FeI 	 14.9
5738.24	 4.22	-2.164	FeI 	 13.6
5775.08	 4.22	-1.124	FeI 	 59.8
5793.92	 4.22	-1.622	FeI 	 34.0
5811.92	 4.14	-2.333	FeI 	 11.4
5814.81	 4.28	-1.820	FeI 	 23.0
5815.22	 4.15	-2.364	FeI 	 10.5
5853.15	 1.49	-5.130	FeI 	  7.5
5855.08	 4.61	-1.531	FeI 	 22.3
5862.36	 4.55	-0.404	FeI 	 87.6
5902.48	 4.59	-1.797	FeI 	 14.2
5905.68	 4.65	-0.775	FeI 	 58.7
5927.79	 4.65	-1.057	FeI 	 42.9
5929.68	 4.55	-1.211	FeI 	 39.5
5930.19	 4.65	-0.326	FeI 	 87.9
5934.66	 3.93	-1.091	FeI 	 76.4
5956.70	 0.86	-4.526	FeI 	 53.7
5983.69	 4.55	-0.719	FeI 	 67.2
5987.07	 4.79	-0.478	FeI 	 70.2
6005.55	 2.59	-3.479	FeI 	 22.4
6024.06	 4.55	-0.124	FeI 	110.5
6056.01	 4.73	-0.489	FeI 	 72.6
6078.49	 4.79	-0.364	FeI 	 77.9
6079.01	 4.65	-1.008	FeI 	 45.8
6089.57	 4.58	-1.273	FeI 	 35.3
6094.38	 4.65	-1.566	FeI 	 19.9
6096.67	 3.98	-1.776	FeI 	 38.2
6120.25	 0.92	-5.894	FeI 	  5.2
6127.91	 4.14	-1.417	FeI 	 48.9
6151.62	 2.18	-3.298	FeI 	 49.7
6157.73	 4.08	-1.238	FeI 	 61.5
6159.38	 4.61	-1.878	FeI 	 11.9
6173.34	 2.22	-2.877	FeI 	 68.0
6200.32	 2.61	-2.397	FeI 	 73.0
6219.29	 2.20	-2.463	FeI 	 89.6
6226.74	 3.88	-2.069	FeI 	 29.2
6232.65	 3.65	-1.240	FeI 	 83.3
6240.65	 2.22	-3.292	FeI 	 48.3
6270.23	 2.86	-2.573	FeI 	 52.8
6315.81	 4.08	-1.645	FeI 	 40.5
6322.69	 2.59	-2.368	FeI 	 76.0
6335.34	 2.20	-2.339	FeI 	 97.2
6358.68	 0.86	-3.907	FeI 	 84.4
6392.54	 2.28	-3.942	FeI 	 17.8
6481.88	 2.28	-2.929	FeI 	 64.1
6593.88	 2.43	-2.384	FeI 	 84.6
6609.12	 2.56	-2.632	FeI 	 65.7
6627.55	 4.55	-1.475	FeI 	 28.2
6646.94	 2.61	-3.915	FeI 	 10.3
6699.15	 4.59	-2.106	FeI 	  8.2
6705.11	 4.61	-1.057	FeI 	 46.5
6710.32	 1.49	-4.810	FeI 	 15.9
6713.74	 4.79	-1.425	FeI 	 21.2
6725.36	 4.10	-2.187	FeI 	 17.6
6726.67	 4.61	-1.045	FeI 	 47.2
6732.07	 4.58	-2.144	FeI 	  7.7
6739.52	 1.56	-4.902	FeI 	 11.7
6745.97	 4.08	-2.657	FeI 	  7.2
6839.84	 2.56	-3.377	FeI 	 29.9
6842.69	 4.64	-1.169	FeI 	 39.3
6855.72	 4.61	-1.674	FeI 	 18.6
6857.25	 4.08	-2.075	FeI 	 22.4
6858.15	 4.61	-0.972	FeI 	 51.6
6861.94	 2.42	-3.795	FeI 	 18.9
6864.32	 4.56	-2.229	FeI 	  6.8
4508.28	 2.86	-2.403	FeII	 87.3
4520.22	 2.81	-2.563	FeII	 81.9
4576.34	 2.84	-2.947	FeII	 64.9
4656.98	 2.89	-3.676	FeII	 33.8
4731.47	 2.89	-2.515	FeII	 82.1
4923.93	 2.89	-1.541	FeII	154.3
5197.57	 3.23	-2.293	FeII	 80.1
5234.63	 3.22	-2.235	FeII	 83.5
5264.81	 3.23	-3.091	FeII	 45.6
5337.75	 3.23	-3.338	FeII	 35.5
5414.07	 3.22	-3.568	FeII	 26.9
5991.38	 3.15	-3.539	FeII	 31.2
6149.25	 3.89	-2.719	FeII	 36.2
